PID,Failure_Type,Failure_Source,User,Voice_Assistant,Context,Failure_freq,Survey,age,gender,Native_English,accent,adjust_speech,repeat_speech,race,device,device_write_in,Frequency
69,Response,Action execution: no action,Please find nearest Tim Horton's,It lagged and then said it was unable to find the request,,Sometimes when I use it,,35-44,Man,No,No,Rarely,Sometimes,White,Mobile phone,,2-3 times a week
69,Understanding,Ambiguity,"Find ""specific song"" by ""specific band""",It found songs with similar titles but different music,Trying to find a specifc song,Rarely when I use it,,35-44,Man,No,No,Rarely,Sometimes,White,Mobile phone,,2-3 times a week
70,Perception,Truncation,"Voice Assistant, can you multiply 54, 39, 33, and 22?","54 times 39 times 33 is 69,498.","We were watching TV, and someone on the TV was asking their voice assistant a math question.",Rarely when I use it,y,25-34,Man,Yes,No,Rarely,Rarely,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
71,Perception,Noisy channel,"Voice Assistant, what is Apple stock value today?",I'm not sure I understand.,I was walking down a busy street with lots of traffic noise.,Sometimes when I use it,y,35-44,Man,Yes,Maybe,Sometimes,Sometimes,White,Mobile phone,,Daily
72,Attention,Missed Trigger,"Voice Assistant, set an alarm for 9 am.","[It did not activate (screen didn't light, phone didn't vibrate)]","I was trying to set an alarm for the next morning, I was alone, it was quiet",About half the time I use it,y,35-44,Man,Yes,No,Sometimes,About half the time I use it,White,Mobile phone,,Daily
72,Perception,Overcapture,"Voice Assistant, set a timer for 60 minutes.",[It listens to the command for so long you set a timer yourself.],"I was trying to set a timer on my phone, I was alone in my quiet bedroom",Sometimes when I use it,y,35-44,Man,Yes,No,Sometimes,About half the time I use it,White,Mobile phone,,Daily
73,Understanding,Misunderstanding,I asked how old someone famous was.,It gave me a detailed description of a bird.,I was the only one present.  I asked it for information about something and it gave me something completely different.,Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Rarely,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
74,Attention,Missed Trigger,"Voice Assistant, change the color of the light to green.",[No response.],"Change the color of the smart light to Green, Not responded to me ",Rarely when I use it,y,35-44,Man,No,Maybe,Most of the time I use it,Most of the time I use it,Asian,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
75,Perception,Noisy channel,I asked for specific information about a business.,It asked me to repeat myself.,"I was driving, it was a somewhat noisy environment.",Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
75,Perception,Noisy channel,I asked for business hours.,"I don't recall exactly, but I had to repeat myself, moved the phone closer","driving with the windows down, a somewhat noisy environment",Rarely when I use it,,25-34,Man,Yes,No,Rarely,Rarely,White,Mobile phone,,2-3 times a week
76,Attention,Missed Trigger,"Voice Assistant, connect to my Bluetooth.",[Nothing happens],"Voice Assistant was not able to find the device, and didn't connect to it. My friends were with me while commanding Voice Assistant. It didn't respond at all, as it failed to hear my command, may be because of the noise at my home.",Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
76,Perception,Truncation,I asked to get the distance from my home to Taylor Park Zoo.,"Instead of giving the distance to the zoo, it gave the distance of Taylor Park, it may be happend due to listening only the part of the command.","Asked to know the distance from my home to zoo park, my collegues are present at the moment and it was little noisy at home",Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
77,Response,Action execution: no action,"Voice Assistant, play music.",[The light flashed and nothing happened],"It didn't recognize my command and didn't respond, the kids were playing nearby.",Sometimes when I use it,,55-64,Woman,No,Yes,Sometimes,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
77,Perception,Transcription,"Voice Assistant, is my camera watching me ",I'm not sure i understand,Voice Assistant didn't recognize Indian accent ,Sometimes when I use it,,55-64,Woman,No,Yes,Sometimes,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
78,Attention,Missed Trigger,[Several times] Voice Assistant...,[Nothing happens],I am trying to call Voice Assistant in a noisy environment where machines are in running.,Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Rarely,American Indian or Alaska Native,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
79,Response,Action execution: incorrect,"Voice Assistant, how many people in Austin have died from Covid? (no particular timeline given to her)","I think it was ""I don't know the answer to that, but there have been X deaths from Covid in Texas."" Odd because she usually says ""I don't know about Austin, Texas, but according to John Hopkins there have been X deaths in Travis county"" (along with some other info). Sometimes she just can't do it for some reason. ","I wanted to know how many people in Austin, Texas have died due to Covid. I'm always alone when it happens. No TV in the room.",Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
79,Understanding,Misunderstanding,"Voice Assistant, what's the weather for the next week? ",She answered something like Right now it's (insert temperature here) degrees.,"I wanted to know the full weather forecast for the upcoming week, which is something that I ask Voice Assistant often, but she was unable to answer properly yesterday, even though I asked her 3 separate times. She has been able to do it successfully many times, but she just kept giving me only the high temperature for that ONE day. Yesterday it happened, and no one was in the room with me. The room was quiet. No TV on. It happens at other times, too.",Sometimes when I use it,,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
79,Perception,Overcapture,"Voice Assistant, hang up.","[Lights flash blue, nothing happens]","I say this when I need her to hang up after a phone call, and her light flashes blue and she does nothing, so I have to repeat it again.",Sometimes when I use it,y,45-54,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
80,Perception,Noisy channel,"Voice Assistant, turn up the volume.","I'm sorry, I didn't quite get that.",Sometimes Voice Assistant unable to understand the voice when to much outside happen.,Sometimes when I use it,y,25-34,Man,Yes,No,Rarely,Sometimes,Asian,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
81,Perception,Transcription,"Voice Assistant, what is cirrhosis?",A process is a series of actions or steps taken in order to achieve a particular end.,It understood cirrhosis it as process and returned incorrect results.,Rarely when I use it,,45-54,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
81,Understanding,Misunderstanding,"Voice Assistant play ""Rowdybaby"" on the TV.",[Music starts playing on a different set of speakers],,Sometimes when I use it,,45-54,Man,No,Maybe,About half the time I use it,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
82,Attention,Missed Trigger,"Voice Assistant, can you turn off the Bluetooth light.",[Nothing happens],I asked Voice Assistant to turn off the connected BT light. But it just didn't do anything.,Rarely when I use it,,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
82,Perception,Noisy channel,"Voice Assistant, show me the news.",The lights flashed and turned off after few seconds.,"It happened a few times, especially while travelling in a train or bus.",Sometimes when I use it,Y,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
82,Perception,Truncation,"Voice Assistant, play King Princess","""Okay, playing King by Florence + the Machine""",It happened many times. I asked Google assistant to play a song. I just said few words and it captured those initial words only. It started playing another song with a similar title.,Sometimes when I use it,y,25-34,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
83,Understanding,No understanding,What do you think about quora?,I really don't know.,My Voice Assistant's voice search option was not working properly.,About half the time I use it,,35-44,Man,Yes,Yes,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
84,Attention,Missed Trigger,"Voice Assistant, turned the volume to eight",[Nothing happens],I wanted to turn the volume up on my music,Sometimes when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
85,Understanding,Ambiguity,"I said something like, ""Give me walking directions to 133 Clark Street.""","The voice assistant gave me driving directions, not walking directions.",I was trying to get directions to an address. It was a somewhat noisy environment. There were others present.,Rarely when I use it,,55-64,Woman,Yes,No,Rarely,Sometimes,White,Mobile phone,,2-3 times a week
86,Understanding,Misunderstanding,"Hey Voice Assistant, how old is the Church of England?","Sorry, I don't know how to answer that.","There was background noise - others were telling me to ""ask Voice Assistant.""",Sometimes when I use it,,45-54,Woman,Yes,Maybe,Sometimes,Rarely,"White,American Indian or Alaska Native",Mobile phone,,Daily
86,Perception,Noisy channel,"""Hey Voice Assistant, how old is the Church of England?""","""Sorry, I don't know how to answer that."" ",There was some background noise of others asking me to ask the voice assistant.,Sometimes when I use it,,45-54,Woman,Yes,Maybe,Sometimes,Rarely,"White,American Indian or Alaska Native",Mobile phone,,Daily
87,Response,Action execution: incorrect,"Voice Assistant, what is the current temperature?","""It is currently 65 degrees out."" [You see on your weather app that it is actually 55 degrees out.]",I asked for the temperature but it provided the wrong temperature.,About half the time I use it,y,25-34,Man,Yes,Yes,About half the time I use it,About half the time I use it,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
88,Perception,Noisy channel,"Voice Assistant, what's the weather tonight?","Sorry, I didn't catch that. Please try again.","The failure purely because of misscommunication between the user and the interface, as we know all the command convert into written words before processing, there were my friends in the room while I ask Voice Assistant to let me know the weather, as we plan to go out, but because of the voice disturbance it unable to understand the command and asked me the question again. ",Rarely when I use it,,35-44,Man,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
89,Attention,Missed Trigger,"Voice Assistant, turn off the master bedroom lights.",[Nothing happens],"I asked her to turn off my bedroom lights, and she did nothing. ",Sometimes when I use it,,25-34,Woman,Yes,No,Rarely,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
89,Understanding,Misunderstanding,Voice Assistant turn on the living room lights.,"She only turned on the accents lights, not the main ones. ",I asked her to turn on all the lights and it only did one.,Rarely when I use it,,25-34,Woman,Yes,No,Rarely,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
90,Attention,Missed Trigger,"Voice Assistant, play next song",[Nothing happens],I was listening to music from a hot tub and asked the voice assistant to play the next song.,Rarely when I use it,,45-54,Woman,Yes,No,Rarely,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
90,Understanding,No understanding,"Voice Assistant, who wrote this song?","Sorry, I can't find that information.",I was listening to music and asked who wrote this song.,Sometimes when I use it,,45-54,Woman,Yes,No,Rarely,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
91,Perception,Noisy channel,I believe I asked what the weather was; it should have been a simple request.,"It didn't pick up on my voice or realize that my request had ended and kept spinning. I think there was an ""I'm sorry, I didn't quite understand you"" prompt.","My children were playing in the background and the dog was barking, and I had to raise my voice and try several times to be heard by my phone even though it was inches from my face.",Sometimes when I use it,Y,25-34,Woman,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Other:",tablet,2-3 times a week
92,Perception,Truncation,Voice Assistant can you tell me the status of grocery order [few seconds pause] the order number is XXXXX.,What is the order number?,It asked me to repeat the order number.,About half the time I use it,,35-44,Woman,No,Maybe,About half the time I use it,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
92,Perception,Noisy channel,"Voice Assistant, where's the closest Pizza Hut?",It told me the location of gas a station.,There was a lot of noise coming from the adjacent room.,Sometimes when I use it,,35-44,Woman,No,Maybe,About half the time I use it,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
92,Attention,Missed Trigger,"Voice Assistant, switch off the light.",[Nothing happens],I restarted the device after nothing happened.,Sometimes when I use it,y,35-44,Woman,No,Maybe,About half the time I use it,About half the time I use it,Asian,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,Daily
93,Perception,Noisy channel,"Hey Voice Assistant, turn off the music",It didn't hear me at all or respond.,The music was blaring from the speaker and it couldn't hear me. My friends were in the room listening.,Sometimes when I use it,,25-34,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
93,Perception,Overcapture,"Hey Voice Assistant, turn off the lights",[It kept listening],It kept listening for so long I just did it myself. I was the only one there.,Sometimes when I use it,y,25-34,Woman,Yes,No,Sometimes,Sometimes,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,4-6 times a week
94,Attention,Missed Trigger,"Voice Assistant, add coffee to my list.",[Nothing happens],I spoke the name and the command to closely together.,Rarely when I use it,,45-54,Man,Yes,No,Sometimes,Sometimes,White,"Mobile phone,Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod),Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
95,Understanding,Misunderstanding,"Voice Assistant, restaurants near me.",I found this.,"I tried to ask Voice Assistant for information about restaurants near me while I was in a different city on vacation. A general Voice Assistant search for the term ""restaurant"" was returned.",Sometimes when I use it,,35-44,Man,Yes,Yes,Most of the time I use it,Sometimes,White,Mobile phone,,2-3 times a week
95,Perception,Noisy channel,"Voice Assistant, call mom.",Voice Assistant called the wrong contact from my address book.,I was in the car trying to ask Voice Assistant to place a hands-free phone call. There was road noise and noise from the rest of my family in the car as well.,Sometimes when I use it,,35-44,Man,Yes,Yes,Most of the time I use it,Sometimes,White,Mobile phone,,2-3 times a week
96,Attention,Missed Trigger,"Voice Assistant, play the song ""Annathe.""",[Nothing happens],I was about to play a song but it didn't respond.,About half the time I use it,,18-24,"Man,Woman",Yes,Yes,Sometimes,Rarely,Asian,Mobile phone,,4-6 times a week
97,Attention,Missed Trigger,I asked my voice assistant to connect to my bluetooth device,"Voice Assistant not able to hear my voice at all, and didn't respond","I was trying to connect to my bluetooth device, it was huge sound pollution because of construction going on.",Rarely when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
97,Attention,Missed Trigger,"Voice Assistant, set an alarm for 10 minutes.",[Nothing happens],"Voice Assistant didn't respond at all, it could be because of the noise at home. I was with my colleagues and enjoying a dinner party at home.",Rarely when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
97,Perception,Transcription,I asked Voice Assistant to play a song for me.,Voice Assistant responded with a different song.,"I was with my friend, I asked Voice Assistant to play a certain song, but Voice Assistant heard partially and responded incorrectly.",Sometimes when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
98,Perception,Transcription,"Hey Voice Assistant, call Sara","Okay, calling Cara.",I was trying to use Voice Assistant to call someone while driving in the car and Voice Assistant misunderstood the name I said and called the wrong person.,Rarely when I use it,,35-44,Woman,Yes,No,Sometimes,Sometimes,White,Mobile phone,,4-6 times a week
98,Attention,Missed Trigger,Voice Assistant...,[Nothing happens],"The voice assistant never came on and never responded. This happens a lot, usually when I'm driving. I say ""Hey Voice Assistant"" and Voice Assistant doesn't respond and I have to yell it louder again.",Sometimes when I use it,,35-44,Woman,Yes,No,Sometimes,Sometimes,White,Mobile phone,,4-6 times a week
98,Perception,Truncation,"Voice Assistant, text Bella I'm on my way to the grocery store.","""okay, what do you want me to say?""","I was driving in my car and I was using Voice Assistant to try to text something to my daughter. Voice Assistant heard me say to text her, but not what I wanted the content of the text to be and kept asking me what do you want me to text.",Sometimes when I use it,y,35-44,Woman,Yes,No,Sometimes,Sometimes,White,Mobile phone,,4-6 times a week
99,Perception,Overcapture,"Hey, Voice Assistant, what time does the Walmart close?",The icon popped up and kept spinning. ,"I was talking to my boyfriend when I asked the assistant to see what time does Walmart close. My boyfriend was talking when I said, ""Hey Voice Assistant""",Sometimes when I use it,y,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Black or African American,Mobile phone,,2-3 times a week
100,Attention,Delayed Trigger,"Voice Assistant, play ""Covet"" on spotify.",[Loading icon starts flashing],"I asked Voice Assistant to play music on spotify. I was in my bathroom, my shower was running. I was next to my phone and hadn't entered my shower yet. It looked like it was loading.",Sometimes when I use it,,25-34,Man,Yes,Yes,Sometimes,Sometimes,White,Mobile phone,,2-3 times a week
100,Perception,Transcription,"Voice Assistant, play falkor by covet on Spotify.",I can't recall exactly what Voice Assistant played-- but a song entirely different from what I asked for was announced by Voice Assistant and then played. It wasn't even from the same band.,"I asked Voice Assistant to play the song ""falkor"" by the band ""covet."" The environment was quiet with no one else present.",Rarely when I use it,,25-34,Man,Yes,Yes,Sometimes,Sometimes,White,Mobile phone,,2-3 times a week
100,Attention,Missed Trigger,Voice Assistant...,[Nothing happens] ,"I had to repeat my ""Voice Assistant"" command. I was in bed and said ""Voice Assistant"" and the Voice Assistant icon/sound did not trigger. No one else was present. The environment was quiet. My purpose of getting Voice Assistant's attention was to get Voice Assistant to tell me a bedtime story.",Sometimes when I use it,y,25-34,Man,Yes,Yes,Sometimes,Sometimes,White,Mobile phone,,2-3 times a week
101,Understanding,Ambiguity,"Voice Assistant, I'm running low on pet food, I need to reorder.","Ok, adding dog food to your shopping list.","I was telling her that I was low on ""pet food"" which in this context means cat food, as they're the only pets I have. She inexplicably randomly put Purina dry DOG food on the list. I know I should have said cat but as far as I know I had used the term pet food before and it was no issue. It's a force of habit from having so many types of pets throughout my life to say pet instead of specify cat in a situation like that.",Rarely when I use it,y,25-34,Man,Yes,No,Rarely,Rarely,White,"Smart home device without a visual interface (e.g. Google Home, Amazon Echo, Apple HomePod)",,2-3 times a week
102,Attention,Delayed Trigger,Turn on Disney+.,[15 seconds delay],I had a throat infection.,Rarely when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
102,Attention,Missed Trigger,"Voice Assistant, mute the tv.","No response, it just didn't do anything.","When it hears a lot of voices, including my voice, it get confused.",Rarely when I use it,,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
102,Attention,Delayed Trigger,"Voice Assistant, open Netflix, mute on.","[The voice assistant responds to the commands one by one, with a 15 seconds delay.]",When I repeat some actions one by one it responds with a delay.,Sometimes when I use it,y,35-44,Woman,Yes,Maybe,Sometimes,Sometimes,Asian,"Mobile phone,Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
103,Understanding,Misunderstanding,"Voice Assistant, stop reciting the chapter of the book.",She just kept reading the chapter and ignoring me. I finally just unplugged the whole unit and plugged it back in again to get her to stop talking!,I was trying to get Voice Assistant to stop reading a chapter of a book. I had asked for a title only and she started reciting a whole chapter.,Sometimes when I use it,,35-44,Woman,Yes,No,Sometimes,Rarely,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
103,Response,Action execution: no action,"Voice Assistant, tell me the ingredients for the Christmas cheesecake from Donna's website.","Sorry, I cannot locate the website called ""Donna's website"".",I was trying to get Voice Assistant to show me a certain recipe for a holiday cheesecake I've made in the past from a website.,Rarely when I use it,y,35-44,Woman,Yes,No,Sometimes,Rarely,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
103,Attention,Delayed Trigger,"Voice Assistant, show me the garage camera now.",[The status bar light was flashing back and forth across the screen.],"The status bar that shows she got the keyword flashed, so I know that she heard me, but nothing came up on the screen except the status bar, and Voice Assistant did not respond. I was trying to get Voice Assistant to show the garage camera because I had heard something outside and knew there was someone by the garage. I was by myself but the TV was on because I was watching a movie and it was quite loud.",Rarely when I use it,y,35-44,Woman,Yes,No,Sometimes,Rarely,White,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,Daily
104,Perception,Noisy channel,"Voice Assistant, call my friend again",[Nothing happens],My friends were present at the moment and they were discussing something.,Rarely when I use it,,35-44,Woman,Yes,Yes,Sometimes,Sometimes,Asian,"Smart home device with a touch interface (e.g. Google Nest Hub, Amazon Echo Show, smart TVs)",,4-6 times a week
105,Perception,Overcapture,I asked a simple math computation question that was on my 3rd grader's homework.,"It just waited and kept listening, and eventually quit searching.","When asking a simple math question in a room full of chatter, it didn't hear and eventualy just gave up.",Sometimes when I use it,,25-34,Woman,Yes,No,About half the time I use it,Sometimes,White,"Mobile phone,Other:",ipad tablet,2-3 times a week
106,Perception,Noisy channel,Whats the weather in Tokyo?,The lights flashed and nothing happened.,I was at a party with a lot of people and noise while I was asking question.,Rarely when I use it,,55-64,Man,Yes,Yes,Sometimes,Rarely,White,Mobile phone,,Once a week
107,Perception,Transcription,Call Philomena Lagese,"It seemed to not understand the name of the person I was wanting to call. Her name is Italian, so it might be language related.","There was a low hum from a fan not too far from me, some minor backround noise and I had a cold.",Rarely when I use it,,35-44,Man,Yes,No,Rarely,Sometimes,White,Mobile phone,,Daily
107,Attention,Delayed Trigger,"Voice Assistant, Chinese food near me.",[Waiting for 10 seconds.] Chinese restaurants near you include Shanghai Chinese restaurant and Four Seasons restaurant.,"It seemed to take eons to process it. I had an emulator running in the backround, it might have been the emulator eating system resources.",Rarely when I use it,y,35-44,Man,Yes,No,Rarely,Sometimes,White,Mobile phone,,Daily